V1	V2
USA_CA_LACPHL_AF00517_2021	02/13/2021
USA_CA_LACPHL_AF00551_2021	02/18/2021
USA_CA_LACPHL_AF00552_2021	02/17/2021
USA_CA_LACPHL_AF00553_2021	02/19/2021
USA_CA_LACPHL_AF00554_2021	02/20/2021
USA_CA_LACPHL_AF00569_2021	02/15/2021
USA_CA_LACPHL_AF00573_2021	02/15/2021
USA_CA_LACPHL_AF00574_2021	02/22/2021
USA_CA_LACPHL_AF00575_2021	02/19/2021
USA_CA_CDPH_6000009938_2021	06/25/2021
USA_CA_LACPHL_AF00524_2021	02/16/2021
USA_CA_LACPHL_AF00512_2021	02/16/2021
USA_CA_LACPHL_AF00468_2021	02/12/2021
USA_CA_LACPHL_AF00598_2021	03/02/2021
USA_CA_LACPHL_AF00620_2021	02/23/2021
USA_CA_LACPHL_AF00645_2021	02/24/2021
USA_CA_LACPHL_AF00648_2021	02/26/2021
USA_CA_LACPHL_AF00665_2021	03/01/2021
USA_CA_LACPHL_AF00666_2021	03/02/2021
USA_CA_LACPHL_AF00667_2021	03/02/2021
USA_CA_LACPHL_AF00668_2021	03/02/2021
USA_CA_LACPHL_AF00669_2021	03/05/2021
USA_CA_LACPHL_AF00678_2021	03/05/2021
USA_CA_LACPHL_AF00679_2021	03/05/2021
USA_CA_LACPHL_AF00680_2021	03/05/2021
USA_CA_LACPHL_AF00681_2021	03/02/2021
USA_CA_LACPHL_AF00676_2021	03/07/2021
USA_CA_LACPHL_AF00677_2021	03/02/2021
USA_CA_LACPHL_AF00696_2021	03/05/2021
USA_CA_LACPHL_AF00697_2021	03/05/2021
USA_CA_LACPHL_AF00702_2021	03/05/2021
USA_CA_LACPHL_AF00707_2021	03/09/2021
USA_CA_LACPHL_AF00709_2021	03/10/2021
USA_CA_LACPHL_AF00712_2021	03/01/2021
USA_CA_CDC_2_3973064_2021	02/12/2021
USA_CA_CDC_2_3975964_2021	02/24/2021
USA_CA_CDC_2_3975895_2021	02/24/2021
USA_CA_LACPHL_AF00726_2021	03/17/2021
USA_CA_LACPHL_AF00729_2021	03/09/2021
USA_CA_LACPHL_AF00731_2021	03/17/2021
USA_CA_LACPHL_AF00732_2021	03/10/2021
USA_CA_LACPHL_AF00714_2021	03/06/2021
USA_CA_LACPHL_AF00718_2021	03/01/2021
USA_CA_LACPHL_AF00740_2021	03/17/2021
USA_CA_LACPHL_AF00742_2021	03/16/2021
USA_CA_LACPHL_AF00743_2021	03/16/2021
USA_CA_LACPHL_AF00794_2021	03/17/2021
USA_CA_LACPHL_AF00795_2021	03/17/2021
USA_CA_LACPHL_AF00801_2021	03/22/2021
USA_CA_LACPHL_AF00802_2021	03/22/2021
USA_CA_LACPHL_AF00745_2021	03/17/2021
USA_CA_LACPHL_AF00748_2021	03/17/2021
USA_CA_LACPHL_AF00749_2021	03/17/2021
USA_CA_LACPHL_AF00750_2021	03/17/2021
USA_CA_LACPHL_AF00752_2021	03/17/2021
USA_CA_LACPHL_AF00753_2021	03/17/2021
USA_CA_LACPHL_AF00754_2021	03/18/2021
USA_CA_LACPHL_AF00755_2021	03/18/2021
USA_CA_LACPHL_AF00786_2021	03/22/2021
USA_CA_LACPHL_AF00787_2021	03/22/2021
USA_CA_LACPHL_AF00788_2021	03/22/2021
USA_CA_LACPHL_AF00789_2021	03/22/2021
USA_CA_LACPHL_AF00791_2021	03/22/2021
USA_CA_LACPHL_AF00793_2021	03/16/2021
USA_CA_LACPHL_AF00765_2021	03/21/2021
USA_CA_LACPHL_AF00766_2021	03/18/2021
USA_CA_LACPHL_AF00768_2021	03/18/2021
USA_CA_LACPHL_AF00769_2021	03/18/2021
USA_CA_LACPHL_AF00770_2021	03/18/2021
USA_CA_LACPHL_AF00772_2021	03/18/2021
USA_CA_LACPHL_AF00776_2021	03/22/2021
USA_CA_LACPHL_AF00830_2021	03/25/2021
USA_CA_LACPHL_AF00833_2021	03/26/2021
USA_CA_LACPHL_AF00835_2021	03/26/2021
USA_CA_LACPHL_AF00836_2021	03/26/2021
USA_CA_LACPHL_AF00837_2021	03/27/2021
USA_CA_LACPHL_AF00841_2021	01/21/2021
USA_CA_LACPHL_AF00843_2021	03/22/2021
USA_CA_LACPHL_AF00844_2021	03/22/2021
USA_CA_LACPHL_AF00845_2021	03/22/2021
USA_CA_LACPHL_AF00804_2021	03/23/2021
USA_CA_LACPHL_AF00807_2021	03/23/2021
USA_CA_LACPHL_AF00808_2021	03/23/2021
USA_CA_LACPHL_AF00809_2021	03/23/2021
USA_CA_LACPHL_AF00810_2021	03/23/2021
USA_CA_LACPHL_AF00811_2021	03/23/2021
USA_CA_LACPHL_AF00812_2021	03/23/2021
USA_CA_LACPHL_AF00815_2021	03/24/2021
USA_CA_LACPHL_AF00816_2021	03/24/2021
USA_CA_LACPHL_AF00817_2021	03/24/2021
USA_CA_LACPHL_AF00819_2021	03/24/2021
USA_CA_LACPHL_AF00820_2021	03/25/2021
USA_CA_LACPHL_AF00821_2021	03/25/2021
USA_CA_LACPHL_AF00822_2021	03/25/2021
USA_CA_LACPHL_AF00823_2021	03/25/2021
USA_CA_LACPHL_AF00824_2021	03/25/2021
USA_CA_LACPHL_AF00825_2021	03/25/2021
USA_CA_LACPHL_AF00827_2021	03/17/2021
USA_CA_LACPHL_AF00803_2021	03/23/2021
USA_CA_CDCBI_FlowHealth_00341_2021	03/02/2021
USA_CA_CDCBI_FlowHealth_00437_2021	03/26/2021
USA_CA_CDCBI_FlowHealth_00522_2021	03/27/2021
USA_CA_CDCBI_FlowHealth_00436_2021	03/26/2021
USA_CA_CDCBI_FlowHealth_00507_2021	03/23/2021
USA_CA_LACPHL_AF00851_2021	04/01/2021
USA_CA_LACPHL_AF00852_2021	03/16/2021
USA_CA_LACPHL_AF00853_2021	03/09/2021
USA_CA_LACPHL_AF00854_2021	03/16/2021
USA_CA_LACPHL_AF00855_2021	03/18/2021
USA_CA_LACPHL_AF00856_2021	03/19/2021
USA_CA_LACPHL_AF00858_2021	03/19/2021
USA_CA_LACPHL_AF00859_2021	03/19/2021
USA_CA_LACPHL_AF00860_2021	03/27/2021
USA_CA_CDC_2_4176943_2021	03/19/2021
USA_CA_CDC_2_4173988_2021	03/19/2021
USA_CA_CDC_2_4174053_2021	03/19/2021
USA_CA_CDC_2_4174057_2021	03/20/2021
USA_CA_CDC_2_4173996_2021	03/10/2021
USA_CA_CDC_2_4173972_2021	03/10/2021
USA_CA_CDC_2_4173975_2021	03/22/2021
USA_CA_CDC_2_4173953_2021	03/13/2021
USA_CA_CDC_2_4173847_2021	03/10/2021
USA_CA_CDC_2_4173828_2021	03/16/2021
USA_CA_LACPHL_AF00869_2021	03/16/2021
USA_CA_LACPHL_AF00870_2021	03/28/2021
USA_CA_LACPHL_AF00873_2021	04/02/2021
USA_CA_LACPHL_AF00875_2021	04/05/2021
USA_CA_LACPHL_AF00881_2021	03/31/2021
USA_CA_LACPHL_AF00883_2021	03/31/2021
USA_CA_LACPHL_AF00887_2021	04/06/2021
USA_CA_LACPHL_AF00888_2021	04/05/2021
USA_CA_LACPHL_AF00889_2021	04/04/2021
USA_CA_LACPHL_AF00890_2021	04/06/2021
USA_CA_LACPHL_AF00891_2021	04/06/2021
USA_CA_LACPHL_AF00892_2021	03/30/2021
USA_CA_LACPHL_AF00898_2021	03/31/2021
USA_CA_LACPHL_AF00899_2021	03/31/2021
USA_CA_LACPHL_AF00903_2021	04/02/2021
USA_CA_LACPHL_AF00904_2021	04/02/2021
USA_CA_LACPHL_AF00905_2021	04/02/2021
USA_CA_LACPHL_AF00912_2021	04/06/2021
USA_CA_LACPHL_AF00913_2021	03/21/2021
USA_CA_LACPHL_AF00918_2021	04/07/2021
USA_CA_LACPHL_AF00919_2021	04/07/2021
USA_CA_LACPHL_AF00920_2021	04/07/2021
USA_CA_LACPHL_AF00921_2021	04/07/2021
USA_CA_LACPHL_AF00922_2021	04/07/2021
USA_CA_LACPHL_AF00923_2021	04/07/2021
