V1	V2
USA_HI_CDC_2_4068561_2020	12/09/2020
USA_HI_CDC_2_4068726_2020	12/07/2020
USA_HI_CDC_2_4068580_2021	01/02/2021
USA_HI_H211007_2021	01/21/2021
USA_HI_H211020_2021	01/28/2021
USA_HI_H211037_2021	01/23/2021
USA_HI_H211039_2021	01/24/2021
USA_HI_H211045_2021	01/14/2021
USA_HI_H211049_2021	01/29/2021
USA_HI_H211054_2020	12/22/2020
USA_HI_H211055_2020	12/23/2020
USA_HI_H211066_2020	12/23/2020
USA_HI_H211069_2020	12/29/2020
USA_HI_H211070_2020	12/29/2020
USA_HI_H211071_2020	12/29/2020
USA_HI_H211072_2020	12/29/2020
USA_HI_H211073_2020	12/29/2020
USA_HI_H211086_2021	01/15/2021
USA_HI_H211089_2020	12/29/2020
USA_HI_H211091_2021	01/28/2021
USA_HI_H211155_2021	02/04/2021
USA_HI_H211168_2021	02/08/2021
USA_HI_H211181_2021	02/02/2021
USA_HI_H211496_2021	01/16/2021
USA_HI_H211508_2021	01/14/2021
USA_HI_H211513_2021	01/18/2021
USA_HI_H211514_2021	01/18/2021
USA_HI_H212057_2020	12/18/2020
USA_HI_CDC_2_3714074_2020	11/25/2020
USA_HI_CDC_2_3713978_2020	11/25/2020
USA_HI_CDC_2_3713981_2020	11/23/2020
USA_HI_CDC_2_3713991_2020	11/05/2020
USA_HI_CDC_2_3713994_2020	11/06/2020
USA_HI_CDC_2_3713972_2020	11/14/2020
USA_HI_H200133_2020	07/09/2020
USA_HI_H200154_2020	07/11/2020
USA_HI_H200156_2020	07/23/2020
USA_HI_H200162_2020	07/24/2020
USA_HI_H200163_2020	07/24/2020
USA_HI_H200164_2020	07/24/2020
USA_HI_H200170_2020	07/24/2020
USA_HI_H200171_2020	07/27/2020
USA_HI_H200173_2020	07/25/2020
USA_HI_H200174_2020	07/28/2020
USA_HI_H200175_2020	07/28/2020
USA_HI_H200176_2020	07/29/2020
USA_HI_H200177_2020	07/29/2020
USA_HI_H200178_2020	07/29/2020
USA_HI_H200179_2020	07/29/2020
USA_HI_H200180_2020	07/29/2020
USA_HI_H200181_2020	07/29/2020
USA_HI_H200182_2020	07/30/2020
USA_HI_H200183_2020	07/30/2020
USA_HI_H200184_2020	07/30/2020
USA_HI_H200185_2020	07/30/2020
USA_HI_H200187_2020	07/31/2020
USA_HI_H200188_2020	08/08/2020
USA_HI_H200189_2020	08/09/2020
USA_HI_H200190_2020	08/09/2020
USA_HI_H200191_2020	08/10/2020
USA_HI_H200192_2020	08/10/2020
USA_HI_H200193_2020	08/10/2020
USA_HI_H200194_2020	08/10/2020
USA_HI_H200195_2020	08/10/2020
USA_HI_H200196_2020	08/10/2020
USA_HI_H200197_2020	08/10/2020
USA_HI_H200198_2020	08/10/2020
USA_HI_H200199_2020	08/10/2020
USA_HI_H200200_2020	08/10/2020
USA_HI_H200201_2020	08/10/2020
USA_HI_H200202_2020	08/10/2020
USA_HI_H200203_2020	08/11/2020
USA_HI_H200204_2020	08/11/2020
USA_HI_H200205_2020	08/11/2020
USA_HI_H200206_2020	08/12/2020
USA_HI_H200207_2020	08/12/2020
USA_HI_H200208_2020	08/12/2020
USA_HI_H200209_2020	08/12/2020
USA_HI_H200210_2020	08/13/2020
USA_HI_H200211_2020	08/13/2020
USA_HI_H200212_2020	08/14/2020
USA_HI_H200213_2020	08/07/2020
USA_HI_H200214_2020	08/09/2020
USA_HI_H200215_2020	08/10/2020
USA_HI_H200216_2020	08/10/2020
USA_HI_H200217_2020	08/10/2020
USA_HI_H200218_2020	08/10/2020
USA_HI_H200219_2020	08/10/2020
USA_HI_H200220_2020	08/10/2020
USA_HI_H200221_2020	08/11/2020
USA_HI_H200222_2020	08/11/2020
USA_HI_H200223_2020	08/11/2020
USA_HI_H200224_2020	08/11/2020
USA_HI_H200225_2020	08/11/2020
USA_HI_H200226_2020	08/11/2020
USA_HI_H200227_2020	08/11/2020
USA_HI_H200228_2020	08/11/2020
USA_HI_H200229_2020	08/11/2020
USA_HI_H200230_2020	08/11/2020
USA_HI_H200231_2020	08/11/2020
USA_HI_H200232_2020	08/12/2020
USA_HI_H200233_2020	08/15/2020
USA_HI_H200234_2020	08/16/2020
USA_HI_H200235_2020	08/17/2020
USA_HI_H200236_2020	08/22/2020
USA_HI_H200237_2020	08/12/2020
USA_HI_H200238_2020	08/13/2020
USA_HI_H200239_2020	08/13/2020
USA_HI_H200240_2020	08/13/2020
USA_HI_H200241_2020	08/15/2020
USA_HI_H200242_2020	08/16/2020
USA_HI_H200243_2020	08/16/2020
USA_HI_H200244_2020	08/16/2020
USA_HI_H200245_2020	08/17/2020
USA_HI_H200246_2020	08/17/2020
USA_HI_H200247_2020	08/17/2020
USA_HI_H200248_2020	08/17/2020
USA_HI_H200249_2020	08/18/2020
USA_HI_H200250_2020	08/18/2020
USA_HI_H200251_2020	08/18/2020
USA_HI_H200252_2020	08/18/2020
USA_HI_H200253_2020	08/18/2020
USA_HI_H200254_2020	08/19/2020
