,V1
1,USA_HI_H200479_2020
2,USA_HI_H200719_2020
3,USA_HI_H200255_2020
4,USA_HI_H200163_2020
5,USA_HI_H200513_2020
6,USA_HI_H200174_2020
7,USA_HI_H200258_2020
8,USA_HI_H200483_2020
9,USA_HI_H200482_2020
10,USA_HI_H200177_2020
11,USA_HI_H200133_2020
12,USA_HI_H200154_2020
13,USA_HI_H200203_2020
14,USA_HI_H200181_2020
15,USA_HI_H200179_2020
16,USA_HI_H200303_2020
17,USA_HI_H200312_2020
18,USA_HI_H200238_2020
19,USA_HI_H200173_2020
20,USA_HI_H200184_2020
21,USA_HI_H200185_2020
22,USA_HI_H200292_2020
23,USA_HI_H200175_2020
24,USA_HI_H200245_2020
25,USA_HI_H200243_2020
26,USA_HI_H200314_2020
27,USA_HI_H200313_2020
28,USA_HI_H200316_2020
29,USA_HI_H200514_2020
30,USA_HI_H200317_2020
31,USA_HI_H200210_2020
32,USA_HI_H200242_2020
33,USA_HI_H200214_2020
34,USA_HI_H200211_2020
35,USA_HI_H200343_2020
36,USA_HI_H200224_2020
37,USA_HI_H200191_2020
38,USA_HI_H200510_2020
39,USA_HI_H200239_2020
40,USA_HI_H200205_2020
41,USA_HI_H200295_2020
42,USA_HI_H200208_2020
43,USA_HI_H200267_2020
44,USA_HI_H200251_2020
45,USA_HI_H200252_2020
46,USA_HI_H200250_2020
47,USA_HI_H200263_2020
48,USA_HI_H200198_2020
49,USA_HI_H200212_2020
50,USA_HI_H200302_2020
51,USA_HI_H200418_2020
52,USA_HI_H200227_2020
53,USA_HI_H200298_2020
54,USA_HI_H200231_2020
55,USA_HI_H200419_2020
56,USA_HI_H200189_2020
57,USA_HI_H200221_2020
58,USA_HI_H200229_2020
59,USA_HI_H200226_2020
60,USA_HI_H200296_2020
61,USA_HI_H200293_2020
62,USA_HI_H200230_2020
63,USA_HI_H200219_2020
64,USA_HI_H200193_2020
65,USA_HI_H200199_2020
66,USA_HI_H200196_2020
67,USA_HI_H200417_2020
68,USA_HI_H200218_2020
69,USA_HI_H200194_2020
70,USA_HI_H200201_2020
71,USA_HI_H200213_2020
72,USA_HI_H200197_2020
73,USA_HI_H200305_2020
74,USA_HI_H200272_2020
75,USA_HI_H200342_2020
76,USA_HI_H200332_2020
77,USA_HI_H200340_2020
78,USA_HI_H200222_2020
79,USA_HI_H200223_2020
80,USA_HI_H200477_2020
81,USA_HI_H200228_2020
82,USA_HI_H200301_2020
83,USA_HI_H200204_2020
84,USA_HI_H200300_2020
85,USA_HI_H200297_2020
86,USA_HI_H200422_2020
87,USA_HI_H200420_2020
88,USA_HI_H200225_2020
89,USA_HI_H200294_2020
90,USA_HI_H200299_2020
91,USA_HI_H200311_2020
92,USA_HI_H200237_2020
93,USA_HI_H200421_2020
94,USA_HI_H200322_2020
95,USA_HI_H200235_2020
96,USA_HI_H200247_2020
97,USA_HI_H200246_2020
98,USA_HI_H200381_2020
99,USA_HI_H200274_2020
100,USA_HI_H200280_2020
101,USA_HI_H200273_2020
102,USA_HI_H200188_2020
103,USA_HI_H200190_2020
104,USA_HI_H200415_2020
105,USA_HI_H200202_2020
106,USA_HI_H200195_2020
107,USA_HI_H200192_2020
108,USA_HI_H200216_2020
109,USA_HI_H200200_2020
110,USA_HI_H200215_2020
111,USA_HI_H200220_2020
112,USA_HI_H200217_2020
113,USA_HI_H200508_2020
114,USA_HI_H200240_2020
115,USA_HI_H200509_2020
116,USA_HI_H200233_2020
117,USA_HI_H200337_2020
118,USA_HI_H200315_2020
119,USA_HI_H200244_2020
120,USA_HI_H200234_2020
121,USA_HI_H200325_2020
122,USA_HI_H200236_2020
123,USA_HI_H200232_2020
124,USA_HI_H200209_2020
125,USA_HI_H200310_2020
126,USA_HI_H200306_2020
127,USA_HI_H200335_2020
128,USA_HI_H200507_2020
129,USA_HI_H200307_2020
130,USA_HI_H200206_2020
131,USA_HI_H200304_2020
132,USA_HI_H200308_2020
133,USA_HI_H200309_2020
134,USA_HI_H200408_2020
135,USA_HI_H200289_2020
136,USA_HI_H200288_2020
137,USA_HI_H200412_2020
138,USA_HI_H200256_2020
139,USA_HI_H200271_2020
140,USA_HI_H200354_2020
141,USA_HI_H200351_2020
142,USA_HI_H200318_2020
143,USA_HI_H200290_2020
144,USA_HI_H200287_2020
145,USA_HI_H200176_2020
146,USA_HI_H200178_2020
147,USA_HI_H200492_2020
148,USA_HI_H200254_2020
149,USA_HI_H200339_2020
150,USA_HI_H200584_2020
151,USA_HI_H200324_2020
152,USA_HI_H200207_2020
153,USA_HI_H200257_2020
154,USA_HI_H200277_2020
155,USA_HI_H200701_2020
156,USA_HI_H211155_2021
157,USA_HI_H211168_2021
158,USA_HI_H200573_2020
159,USA_HI_H200260_2020
160,USA_HI_H200452_2020
161,USA_HI_H200424_2020
162,USA_HI_H200425_2020
163,USA_HI_H200439_2020
164,USA_HI_H200441_2020
165,USA_HI_H200472_2020
166,USA_HI_H200442_2020
167,USA_HI_H200548_2020
168,USA_HI_H200349_2020
169,USA_HI_H200455_2020
170,USA_HI_H200423_2020
171,USA_HI_H200269_2020
172,USA_HI_H200268_2020
173,USA_HI_H200453_2020
174,USA_HI_H200444_2020
175,USA_HI_H200451_2020
176,USA_HI_H200583_2020
177,USA_HI_H200582_2020
178,USA_HI_H200581_2020
179,USA_HI_H200550_2020
180,USA_HI_H200475_2020
181,USA_HI_H200361_2020
182,USA_HI_H200571_2020
183,USA_HI_H200552_2020
184,USA_HI_H200572_2020
185,USA_HI_H200532_2020
186,USA_HI_H200566_2020
187,USA_HI_H200565_2020
