"","x"
"1","USA_CA_LACPHL_AF00517_2021"
"2","USA_CA_LACPHL_AF00573_2021"
"3","USA_CA_CDC_2_4173847_2021"
"4","USA_CA_LACPHL_AF01118_2021"
"5","USA_CA_LACPHL_AF01514_2021"
"6","USA_CA_LACPHL_AF02152_2021"
"7","USA_CA_CDPH1003_2021"
"8","USA_CA_CDPH_3000028156_2021"
"9","USA_CA_LACPHL_AF00668_2021"
"10","USA_CA_LACPHL_AF00718_2021"
"11","USA_CA_CDPH_2000042709_2021"
"12","USA_CA_CDPH_3000039150_2021"
"13","USA_CA_CDPH_3000022008_2021"
"14","USA_CA_LACPHL_AF00299_2021"
"15","USA_CA_LACPHL_AF00678_2021"
"16","USA_CA_LACPHL_AF00856_2021"
"17","USA_CA_CDPH_3000030067_2021"
"18","USA_CA_CDPH_3000028312_2021"
"19","USA_CA_LACPHL_AF01318_2021"
"20","USA_CA_CDPH_2000049342_2021"
"21","USA_CA_CDPH_3000052427_2021"
"22","USA_CA_CDPH_3000052426_2021"
"23","USA_CA_LACPHL_AF00740_2021"
"24","USA_CA_CDC_2_4282910_2021"
"25","USA_CA_LACPHL_AF01058_2021"
"26","USA_CA_LACPHL_AF01083_2021"
"27","USA_CA_CDPH_3000030369_2021"
"28","USA_CA_CDPH_3000007401_2021"
"29","USA_CA_CDCBI_FlowHealth_00436_2021"
"30","USA_CA_LACPHL_AF00854_2021"
"31","USA_CA_LACPHL_AF00881_2021"
"32","USA_CA_CDCBI_FlowHealth_00507_2021"
"33","USA_CA_CDPH_3000047875_2021"
"34","USA_CA_CDPH_2000044521_2021"
"35","USA_CA_CDPH_3000006051_2021"
"36","USA_CA_CDPH_3000053659_2021"
"37","USA_CA_CDC_2_4174057_2021"
"38","USA_CA_CSMC136_2021"
"39","USA_CA_CSMC56_2021"
"40","USA_CA_CDC_2_4242795_2021"
"41","USA_CA_CDC_2_4242791_2021"
"42","USA_CA_LACPHL_AF01104_2021"
"43","USA_CA_CDPH_3000009948_2021"
"44","USA_CA_LACPHL_AF01040_2021"
"45","USA_CA_LACPHL_AF01456_2021"
"46","USA_CA_LACPHL_AF02234_2021"
"47","USA_CA_LACPHL_AF02231_2021"
"48","USA_CA_LACPHL_AF02232_2021"
"49","USA_CA_CDPH_3000021825_2021"
"50","USA_CA_CDC_2_4176943_2021"
"51","USA_CA_CDC_2_4451271_2021"
"52","USA_CA_CSMC72_2021"
"53","USA_CA_CSMC64_2021"
"54","USA_CA_LACPHL_AF01021_2021"
"55","USA_CA_CDPH_3000047876_2021"
"56","USA_CA_CDPH_3000005763_2021"
"57","USA_CA_CDPH_2000046773_2021"
"58","USA_CA_CDPH_2000046926_2021"
"59","USA_CA_CDPH_2000046997_2021"
"60","USA_CA_CDPH_2000047005_2021"
"61","USA_CA_CDPH_3000032764_2021"
"62","USA_CA_CDPH_3000032769_2021"
"63","USA_CA_CDPH_2000046797_2021"
"64","USA_CA_CDPH_2000046850_2021"
"65","USA_CA_CDPH_2000046772_2021"
"66","USA_CA_CDPH_3000032696_2021"
"67","USA_CA_LACPHL_AF00869_2021"
"68","USA_CA_CDPH_3000053248_2021"
"69","USA_CA_CDPH_2000048376_2021"
"70","USA_CA_CDPH_3000040693_2021"
"71","USA_CA_CDPH_3000030194_2021"
"72","USA_CA_CDPH_3000049374_2021"
"73","USA_CA_CDPH_2000048546_2021"
"74","USA_CA_CDPH_3000040745_2021"
"75","USA_CA_CDPH_2000048554_2021"
"76","USA_CA_CDPH_3000031376_2021"
"77","USA_CA_LACPHL_AF01048_2021"
"78","USA_CA_LACPHL_AF02226_2021"
"79","USA_CA_LACPHL_AF00870_2021"
"80","USA_CA_LACPHL_AF01336_2021"
"81","USA_CA_CDPH_3000120188_2021"
"82","USA_CA_CDPH_3000051475_2021"
"83","USA_CA_CDPH_3000018594_2021"
"84","USA_CA_CDPH_3000015173_2021"
"85","USA_CA_CDPH_3000050932_2021"
"86","USA_CA_LACPHL_AF00980_2021"
"87","USA_CA_LACPHL_AF01142_2021"
"88","USA_CA_CDPH_3000028515_2021"
"89","USA_CA_CDPH_3000014172_2021"
"90","USA_CA_CDPH_3000010700_2021"
