Label,Locality,Variant
USA_HI_CDC_2_4175178_2021,HI,B117
USA_HI_CDC_2_4175313_2021,HI,B117
USA_HI_CDC_2_4175322_2021,HI,B117
USA_HI_CDC_2_4282529_2021,HI,B117
USA_HI_CDC_2_4451395_2021,HI,B117
USA_HI_CDC_2_4451396_2021,HI,B117
USA_HI_CDC_2_4451465_2021,HI,B117
USA_HI_CDC_2_4451467_2021,HI,B117
USA_HI_CDC_2_4451468_2021,HI,B117
USA_HI_CDC_2_4451471_2021,HI,B117
USA_HI_CDC_2_4451474_2021,HI,B117
USA_HI_CDC_2_4451490_2021,HI,B117
USA_HI_CDC_2_4451556_2021,HI,B117
USA_HI_CDC_2_4451557_2021,HI,B117
USA_HI_CDC_2_4594931_2021,HI,B117
USA_HI_CDC_2_4594940_2021,HI,B117
USA_HI_CDC_2_4595001_2021,HI,B117
USA_HI_CDC_2_4595028_2021,HI,B117
USA_HI_CDC_2_4611083_2021,HI,B117
USA_HI_CDC_2_4611096_2021,HI,B117
USA_HI_CDC_2_4611152_2021,HI,B117
USA_HI_CDC_2_4611154_2021,HI,B117
USA_HI_CDC_2_4611183_2021,HI,B117
USA_HI_CDC_2_4611190_2021,HI,B117
USA_HI_CDC_2_4611192_2021,HI,B117
USA_HI_CDC_2_4611199_2021,HI,B117
USA_HI_CDC_2_4611261_2021,HI,B117
USA_HI_CDC_2_4611262_2021,HI,B117
USA_HI_CDC_2_4635193_2021,HI,B117
USA_HI_CDC_2_4635286_2021,HI,B117
USA_HI_CDC_2_4635288_2021,HI,B117
USA_HI_CDC_2_4651352_2021,HI,B117
USA_HI_CDC_2_4651353_2021,HI,B117
USA_HI_CDC_2_4651366_2021,HI,B117
USA_HI_CDC_2_4651372_2021,HI,B117
USA_HI_CDC_2_4651374_2021,HI,B117
USA_HI_CDC_2_4651385_2021,HI,B117
USA_HI_CDC_2_4651387_2021,HI,B117
USA_HI_CDC_2_4651454_2021,HI,B117
USA_HI_CDC_2_4651456_2021,HI,B117
USA_HI_CDC_2_4651460_2021,HI,B117
USA_HI_CDC_2_4651462_2021,HI,B117
USA_HI_CDC_2_4651481_2021,HI,B117
USA_HI_CDC_2_4651482_2021,HI,B117
USA_HI_CDC_ASC210002335_2021,HI,B117
USA_HI_CDC_ASC210015434_2021,HI,B117
USA_HI_CDC_ASC210015563_2021,HI,B117
USA_HI_CDC_ASC210032736_2021,HI,B117
USA_HI_CDC_ASC210038381_2021,HI,B117
USA_HI_CDC_ASC210046088_2021,HI,B117
USA_HI_CDC_ASC210046113_2021,HI,B117
USA_HI_CDC_ASC210055949_2021,HI,B117
USA_HI_CDC_ASC210064325_2021,HI,B117
USA_HI_CDC_ASC210064965_2021,HI,B117
USA_HI_CDC_ASC210073233_2021,HI,B117
USA_HI_CDC_ASC210107848_2021,HI,B117
USA_HI_CDC_ASC210108635_2021,HI,B117
USA_HI_CDC_ASC210108697_2021,HI,B117
USA_HI_CDC_ASC210108698_2021,HI,B117
USA_HI_CDC_ASC210108701_2021,HI,B117
USA_HI_CDC_ASC210108702_2021,HI,B117
USA_HI_CDC_ASC210108749_2021,HI,B117
USA_HI_CDC_ASC210108750_2021,HI,B117
USA_HI_CDC_ASC210110664_2021,HI,B117
USA_HI_CDC_ASC210111560_2021,HI,B117
USA_HI_CDC_ASC210154850_2021,HI,B117
USA_HI_CDC_ASC210154851_2021,HI,B117
USA_HI_CDC_LC0034733_2021,HI,B117
USA_HI_CDC_LC0045000_2021,HI,B117
USA_HI_CDC_LC0056239_2021,HI,B117
USA_HI_CDC_LC0056299_2021,HI,B117
USA_HI_CDC_LC0058899_2021,HI,B117
USA_HI_CDC_LC0058901_2021,HI,B117
USA_HI_CDC_LC0064771_2021,HI,B117
USA_HI_CDC_LC0068267_2021,HI,B117
USA_HI_CDC_LC0069058_2021,HI,B117
USA_HI_CDC_LC0073774_2021,HI,B117
USA_HI_CDC_LC0085592_2021,HI,B117
USA_HI_CDC_LC0102190_2021,HI,B117
USA_HI_CDC_MMB08862340_2021,HI,B117
USA_HI_CDC_QDX22524334_2021,HI,B117
USA_HI_CDC_QDX22524336_2021,HI,B117
USA_HI_CDC_QDX23091000_2021,HI,B117
USA_HI_CDC_QDX23179754_2021,HI,B117
USA_HI_CDC_QDX23654501_2021,HI,B117
USA_HI_CDC_QDX23892458_2021,HI,B117
USA_HI_CDC_QDX24042189_2021,HI,B117
USA_HI_CDC_QDX24042190_2021,HI,B117
USA_HI_CDC_QDX24326149_2021,HI,B117
USA_HI_CDC_QDX24326150_2021,HI,B117
USA_HI_CDC_QDX24476569_2021,HI,B117
USA_HI_CDC_QDX24476584_2021,HI,B117
USA_HI_CDC_QDX24476585_2021,HI,B117
USA_HI_CDC_QDX24476586_2021,HI,B117
USA_HI_CDC_QDX24476587_2021,HI,B117
USA_HI_CDC_QDX24713144_2021,HI,B117
USA_HI_CDC_QDX24799270_2021,HI,B117
USA_HI_CDC_QDX24863454_2021,HI,B117
USA_HI_CDC_QDX24863477_2021,HI,B117
USA_HI_CDC_QDX24940843_2021,HI,B117
USA_HI_CDC_QDX24940845_2021,HI,B117
USA_HI_CDC_QDX24940846_2021,HI,B117
USA_HI_CDC_QDX24940847_2021,HI,B117
USA_HI_CDC_QDX25392304_2021,HI,B117
USA_HI_CDC_QDX25890932_2021,HI,B117
USA_HI_CDC_QDX25952524_2021,HI,B117
USA_HI_CDC_QDX26075392_2021,HI,B117
USA_HI_CDC_QDX26075393_2021,HI,B117
USA_HI_CDC_QDX26075394_2021,HI,B117
USA_HI_CDC_QDX26075461_2021,HI,B117
USA_HI_CDC_QDX26075519_2021,HI,B117
USA_HI_CDC_QDX26075558_2021,HI,B117
USA_HI_CDC_QDX26075559_2021,HI,B117
USA_HI_CDC_QDX26299953_2021,HI,B117
USA_HI_CDC_QDX26300139_2021,HI,B117
USA_HI_CDC_QDX26400478_2021,HI,B117
USA_HI_CDC_QDX26400479_2021,HI,B117
USA_HI_CDC_STM_000066092_2021,HI,B117
USA_HI_CDC_STM_000066831_2021,HI,B117
USA_HI_CDC_STM_000705209_2021,HI,B117
USA_HI_H211017_2021,HI,B117
USA_HI_H211023_2021,HI,B117
USA_HI_H211111_2021,HI,B117
USA_HI_H211123_2021,HI,B117
USA_HI_H211141_2021,HI,B117
USA_HI_H211279_2021,HI,B117
USA_HI_H211314_2021,HI,B117
USA_HI_H211317_2021,HI,B117
USA_HI_H211328_2021,HI,B117
USA_HI_H211349_2021,HI,B117
USA_HI_H211350_2021,HI,B117
USA_HI_H211357_2021,HI,B117
USA_HI_H211406_2021,HI,B117
USA_HI_H211411_2021,HI,B117
USA_HI_H211424_2021,HI,B117
USA_HI_H211450_2021,HI,B117
