"","","roll"
"1","7/8/2020",NA
"2","7/9/2020",NA
"3","7/10/2020",NA
"4","7/11/2020","27.4285714285714"
"5","7/12/2020","25.2857142857143"
"6","7/13/2020","24.7142857142857"
"7","7/14/2020","21.5714285714286"
"8","7/15/2020","22.7142857142857"
"9","7/16/2020","21.5714285714286"
"10","7/17/2020","21.8571428571429"
"11","7/18/2020","20.2857142857143"
"12","7/19/2020","25.2857142857143"
"13","7/20/2020","30.2857142857143"
"14","7/21/2020","37.5714285714286"
"15","7/22/2020","42.7142857142857"
"16","7/23/2020","45"
"17","7/24/2020","48.2857142857143"
"18","7/25/2020","61.5714285714286"
"19","7/26/2020","71.4285714285714"
"20","7/27/2020","80.5714285714286"
"21","7/28/2020","83"
"22","7/29/2020","80.2857142857143"
"23","7/30/2020","105.857142857143"
"24","7/31/2020","119.571428571429"
"25","8/1/2020","128.285714285714"
"26","8/2/2020","132"
"27","8/3/2020","143.285714285714"
"28","8/4/2020","163.571428571429"
"29","8/5/2020","178.714285714286"
"30","8/6/2020","169.142857142857"
"31","8/7/2020","165.857142857143"
"32","8/8/2020","169.857142857143"
"33","8/9/2020","199"
"34","8/10/2020","203.428571428571"
"35","8/11/2020","211.142857142857"
"36","8/12/2020","220.857142857143"
"37","8/13/2020","225.714285714286"
"38","8/14/2020","227.714285714286"
"39","8/15/2020","236.571428571429"
"40","8/16/2020","219.714285714286"
"41","8/17/2020","219.428571428571"
"42","8/18/2020","219"
"43","8/19/2020","223"
"44","8/20/2020","222.285714285714"
"45","8/21/2020","233.857142857143"
"46","8/22/2020","235.857142857143"
"47","8/23/2020","246"
"48","8/24/2020","250.714285714286"
"49","8/25/2020","255"
"50","8/26/2020","248.285714285714"
"51","8/27/2020","242.714285714286"
"52","8/28/2020","237.571428571429"
"53","8/29/2020","246.714285714286"
"54","8/30/2020","232.714285714286"
"55","8/31/2020","233.285714285714"
"56","9/1/2020","220.285714285714"
"57","9/2/2020","214.714285714286"
"58","9/3/2020","211"
"59","9/4/2020","194.857142857143"
"60","9/5/2020","160.714285714286"
"61","9/6/2020","154.857142857143"
"62","9/7/2020","140.571428571429"
"63","9/8/2020","127.428571428571"
"64","9/9/2020","120.714285714286"
"65","9/10/2020","117.285714285714"
"66","9/11/2020","117.142857142857"
"67","9/12/2020","116.857142857143"
"68","9/13/2020","115.285714285714"
"69","9/14/2020","108.428571428571"
"70","9/15/2020","106.285714285714"
"71","9/16/2020","101"
"72","9/17/2020","97.4285714285714"
"73","9/18/2020","97.2857142857143"
"74","9/19/2020","107.142857142857"
"75","9/20/2020","97.7142857142857"
"76","9/21/2020","96.5714285714286"
"77","9/22/2020","98.7142857142857"
"78","9/23/2020","101.285714285714"
"79","9/24/2020","106.285714285714"
"80","9/25/2020","109.285714285714"
"81","9/26/2020","102.714285714286"
"82","9/27/2020","105.142857142857"
"83","9/28/2020","101.571428571429"
