date,cases
6/20/2020,1987
6/21/2020,1571
6/22/2020,2890
6/23/2020,2898
6/24/2020,2945
6/25/2020,2764
6/26/2020,2766
6/27/2020,2165
6/28/2020,1742
6/29/2020,3202
6/30/2020,3038
7/1/2020,3583
7/2/2020,3204
7/3/2020,2019
7/4/2020,1515
7/5/2020,1816
7/6/2020,3226
7/7/2020,3604
7/8/2020,3572
7/9/2020,3202
7/10/2020,3262
7/11/2020,2420
7/12/2020,1718
7/13/2020,3424
7/14/2020,3235
7/15/2020,3136
7/16/2020,3465
7/17/2020,3221
7/18/2020,2371
7/19/2020,1446
7/20/2020,3447
7/21/2020,2963
7/22/2020,2991
7/23/2020,2652
7/24/2020,2549
7/25/2020,2018
7/26/2020,1131
7/27/2020,2571
7/28/2020,2428
7/29/2020,2233
7/30/2020,2029
7/31/2020,2031
8/1/2020,1600
8/2/2020,893
8/3/2020,2088
8/4/2020,2035
8/5/2020,1937
8/6/2020,1920
8/7/2020,2072
8/8/2020,1467
8/9/2020,885
8/10/2020,2062
8/11/2020,1577
8/12/2020,1501
8/13/2020,1401
8/14/2020,1380
8/15/2020,1170
8/16/2020,750
8/17/2020,1573
8/18/2020,1519
8/19/2020,1261
8/20/2020,1276
8/21/2020,1230
8/22/2020,874
8/23/2020,660
8/24/2020,1595
8/25/2020,1361
8/26/2020,1298
8/27/2020,1014
8/28/2020,1002
8/29/2020,811
8/30/2020,630
8/31/2020,1137
9/1/2020,1104
9/2/2020,1092
9/3/2020,931
9/4/2020,863
9/5/2020,567
9/6/2020,535
9/7/2020,632
9/8/2020,1046
9/9/2020,930
9/10/2020,875
9/11/2020,979
9/12/2020,681
9/13/2020,559
9/14/2020,1151
9/15/2020,1029
9/16/2020,1110
9/17/2020,980
9/18/2020,942
9/19/2020,761
9/20/2020,626
9/21/2020,1231
9/22/2020,1086
9/23/2020,1066
9/24/2020,1016
9/25/2020,1042
9/26/2020,791
9/27/2020,635
9/28/2020,1178
9/29/2020,1106
9/30/2020,1216
10/1/2020,1225
10/2/2020,1043
10/3/2020,902
10/4/2020,705
10/5/2020,1389
10/6/2020,1090
10/7/2020,1236
10/8/2020,1181
