"","","roll"
"1","6/20/2020",NA
"2","6/21/2020",NA
"3","6/22/2020",NA
"4","6/23/2020","2545.85714285714"
"5","6/24/2020","2571.28571428571"
"6","6/25/2020","2595.71428571429"
"7","6/26/2020","2640.28571428571"
"8","6/27/2020","2660.28571428571"
"9","6/28/2020","2751.42857142857"
"10","6/29/2020","2814.28571428571"
"11","6/30/2020","2707.57142857143"
"12","7/1/2020","2614.71428571429"
"13","7/2/2020","2625.28571428571"
"14","7/3/2020","2628.71428571429"
"15","7/4/2020","2709.57142857143"
"16","7/5/2020","2708"
"17","7/6/2020","2707.71428571429"
"18","7/7/2020","2885.28571428571"
"19","7/8/2020","3014.57142857143"
"20","7/9/2020","3000.57142857143"
"21","7/10/2020","3028.85714285714"
"22","7/11/2020","2976.14285714286"
"23","7/12/2020","2913.85714285714"
"24","7/13/2020","2951.42857142857"
"25","7/14/2020","2945.57142857143"
"26","7/15/2020","2938.57142857143"
"27","7/16/2020","2899.71428571429"
"28","7/17/2020","2903"
"29","7/18/2020","2864.14285714286"
"30","7/19/2020","2843.42857142857"
"31","7/20/2020","2727.28571428571"
"32","7/21/2020","2631.28571428571"
"33","7/22/2020","2580.85714285714"
"34","7/23/2020","2535.85714285714"
"35","7/24/2020","2410.71428571429"
"36","7/25/2020","2334.28571428571"
"37","7/26/2020","2226"
"38","7/27/2020","2137"
"39","7/28/2020","2063"
"40","7/29/2020","2003.28571428571"
"41","7/30/2020","1969.28571428571"
"42","7/31/2020","1900.28571428571"
"43","8/1/2020","1844.14285714286"
"44","8/2/2020","1801.85714285714"
"45","8/3/2020","1786.28571428571"
"46","8/4/2020","1792.14285714286"
"47","8/5/2020","1773.14285714286"
"48","8/6/2020","1772"
"49","8/7/2020","1768.28571428571"
"50","8/8/2020","1702.85714285714"
"51","8/9/2020","1640.57142857143"
"52","8/10/2020","1566.42857142857"
"53","8/11/2020","1467.57142857143"
"54","8/12/2020","1425.14285714286"
"55","8/13/2020","1405.85714285714"
"56","8/14/2020","1336"
"57","8/15/2020","1327.71428571429"
"58","8/16/2020","1293.42857142857"
"59","8/17/2020","1275.57142857143"
"60","8/18/2020","1254.14285714286"
"61","8/19/2020","1211.85714285714"
"62","8/20/2020","1199"
"63","8/21/2020","1202.14285714286"
"64","8/22/2020","1179.57142857143"
"65","8/23/2020","1184.85714285714"
"66","8/24/2020","1147.42857142857"
"67","8/25/2020","1114.85714285714"
"68","8/26/2020","1105.85714285714"
"69","8/27/2020","1101.57142857143"
"70","8/28/2020","1036.14285714286"
"71","8/29/2020","999.428571428571"
"72","8/30/2020","970"
"73","8/31/2020","958.142857142857"
"74","9/1/2020","938.285714285714"
"75","9/2/2020","903.428571428571"
"76","9/3/2020","889.857142857143"
"77","9/4/2020","817.714285714286"
"78","9/5/2020","809.428571428571"
"79","9/6/2020","786.285714285714"
"80","9/7/2020","778.285714285714"
"81","9/8/2020","794.857142857143"
