dat,,b1243
7/8/2020,,1
7/9/2020,,1
7/10/2020,,
7/11/2020,,1
7/12/2020,,
7/13/2020,,
7/14/2020,,
7/15/2020,,
7/16/2020,,
7/17/2020,,
7/18/2020,,
7/19/2020,,
7/20/2020,,
7/21/2020,,
7/22/2020,,
7/23/2020,,1
7/24/2020,,4
7/25/2020,,1
,,
7/27/2020,,1
7/28/2020,,2
7/29/2020,,6
7/30/2020,,4
7/31/2020,,2
8/1/2020,,
8/2/2020,,4
8/3/2020,,1
8/4/2020,,1
8/5/2020,,2
8/6/2020,,5
8/7/2020,,2
8/8/2020,,1
8/9/2020,,4
8/10/2020,,19
8/11/2020,,33
8/12/2020,,15
8/13/2020,,9
8/14/2020,,4
8/15/2020,,4
8/16/2020,,13
8/17/2020,,9
8/18/2020,,9
8/19/2020,,2
8/20/2020,,3
8/21/2020,,1
8/22/2020,,3
8/23/2020,,
8/24/2020,,2
8/25/2020,,5
8/26/2020,,1
8/27/2020,,4
8/28/2020,,
8/29/2020,,
8/30/2020,,
8/31/2020,,4
9/1/2020,,4
9/2/2020,,7
9/3/2020,,2
9/4/2020,,1
9/5/2020,,1
9/6/2020,,
9/7/2020,,2
9/8/2020,,4
9/9/2020,,9
9/10/2020,,3
9/11/2020,,1
9/12/2020,,2
9/13/2020,,
9/14/2020,,1
9/15/2020,,6
9/16/2020,,2
9/17/2020,,2
9/18/2020,,1
9/19/2020,,2
9/20/2020,,
9/21/2020,,7
9/22/2020,,2
9/23/2020,,6
9/24/2020,,15
9/25/2020,,6
9/26/2020,,
9/27/2020,,
9/28/2020,,4
9/29/2020,,13
9/30/2020,,4
10/1/2020,,3
10/2/2020,,1
10/3/2020,,2
10/4/2020,,
10/5/2020,,7
10/6/2020,,6
10/7/2020,,4
10/8/2020,,6
10/9/2020,,12
10/10/2020,,4
10/11/2020,,
10/12/2020,,3
10/13/2020,,
10/14/2020,,
10/15/2020,,4
10/16/2020,,
10/17/2020,,
10/18/2020,,
10/19/2020,,
10/20/2020,,
10/21/2020,,1
10/22/2020,,
10/23/2020,,
10/24/2020,,26
10/25/2020,,
10/26/2020,,
10/27/2020,,
10/28/2020,,
10/29/2020,,4
10/30/2020,,
10/31/2020,,
11/1/2020,,
11/2/2020,,9
11/3/2020,,2
11/4/2020,,1
11/5/2020,,10
11/6/2020,,2
11/7/2020,,1
11/8/2020,,
11/9/2020,,1
11/10/2020,,
11/11/2020,,
11/12/2020,,
11/13/2020,,
11/14/2020,,1
11/15/2020,,1
11/16/2020,,
11/17/2020,,1
11/18/2020,,
11/19/2020,,
11/20/2020,,
11/21/2020,,2
11/22/2020,,
11/23/2020,,39
11/24/2020,,
11/25/2020,,9
11/26/2020,,1
11/27/2020,,
11/28/2020,,
11/29/2020,,
11/30/2020,,
12/1/2020,,33
12/2/2020,,
12/3/2020,,
12/4/2020,,9
12/5/2020,,
12/6/2020,,
12/7/2020,,1
12/8/2020,,
12/9/2020,,38
12/10/2020,,
12/11/2020,,
12/12/2020,,1
12/13/2020,,
12/14/2020,,
12/15/2020,,3
12/16/2020,,15
12/17/2020,,14
12/18/2020,,22
12/19/2020,,
12/20/2020,,
12/21/2020,,2
12/22/2020,,9
12/23/2020,,9
12/28/2020,,19
12/29/2020,,39
12/30/2020,,
12/31/2020,,
1/1/2021,,1
1/2/2021,,4
1/3/2021,,12
1/4/2021,,8
1/5/2021,,18
1/6/2021,,2
1/7/2021,,1
1/8/2021,,1
1/9/2021,,
1/10/2021,,
1/11/2021,,1
1/12/2021,,
1/13/2021,,1
1/14/2021,,2
1/15/2021,,2
1/16/2021,,2
1/17/2021,,
1/18/2021,,2
1/19/2021,,
1/20/2021,,3
1/21/2021,,1
1/22/2021,,
1/23/2021,,1
1/24/2021,,1
1/25/2021,,
1/26/2021,,
1/27/2021,,
1/28/2021,,2
1/29/2021,,1
1/30/2021,,
1/31/2021,,
2/1/2021,,
2/2/2021,,1
2/3/2021,,
2/4/2021,,1
2/5/2021,,
2/6/2021,,
2/7/2021,,
2/8/2021,,1
