Accession ID	Collection date	Submission date	Location
EPI_ISL_3308589	2021-07-12	2021-08-10	North America / USA / Hawaii
EPI_ISL_3307462	2021-07-14	2021-08-09	North America / USA / Hawaii
EPI_ISL_3307467	2021-07-14	2021-08-09	North America / USA / Hawaii
EPI_ISL_3308506	2021-07-08	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308586	2021-07-10	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308588	2021-07-13	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308664	2021-07-09	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308675	2021-07-12	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308676	2021-07-11	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308687	2021-07-11	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308688	2021-07-10	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308773	2021-07-07	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308774	2021-07-08	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308775	2021-07-06	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308776	2021-07-12	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308778	2021-07-13	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308779	2021-07-13	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308780	2021-07-13	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308782	2021-07-13	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308772	2021-07-09	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308660	2021-07-10	2021-08-10	North America / USA / Hawaii
EPI_ISL_2545667	2021-06-01	2021-06-15	North America / USA / Hawaii
EPI_ISL_3308777	2021-07-12	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308410	2021-07-06	2021-08-10	North America / USA / Hawaii
EPI_ISL_3308474	2021-07-12	2021-08-10	North America / USA / Hawaii
EPI_ISL_1292716	2021-02-21	2021-03-19	North America / USA / Hawaii / Honolulu County
EPI_ISL_2007926	2021-04-17	2021-05-11	North America / USA / Hawaii / Honolulu County
EPI_ISL_1292709	2021-02-18	2021-03-19	North America / USA / Hawaii / Hawaii County
EPI_ISL_1267156	2021-02-26	2021-03-17	North America / USA / Hawaii
