"","x"
"1",2021.625
"2",2021.6152244898
"3",2021.60544897959
"4",2021.59567346939
"5",2021.58589795918
"6",2021.57612244898
"7",2021.56634693878
"8",2021.55657142857
"9",2021.54679591837
"10",2021.53702040816
"11",2021.52724489796
"12",2021.51746938775
"13",2021.50769387755
"14",2021.49791836735
"15",2021.48814285714
"16",2021.47836734694
"17",2021.46859183673
"18",2021.45881632653
"19",2021.44904081633
"20",2021.43926530612
"21",2021.42948979592
"22",2021.41971428571
"23",2021.40993877551
"24",2021.40016326531
"25",2021.3903877551
"26",2021.3806122449
"27",2021.37083673469
"28",2021.36106122449
"29",2021.35128571429
"30",2021.34151020408
"31",2021.33173469388
"32",2021.32195918367
"33",2021.31218367347
"34",2021.30240816327
"35",2021.29263265306
"36",2021.28285714286
"37",2021.27308163265
"38",2021.26330612245
"39",2021.25353061224
"40",2021.24375510204
"41",2021.23397959184
"42",2021.22420408163
"43",2021.21442857143
"44",2021.20465306122
"45",2021.19487755102
"46",2021.18510204082
"47",2021.17532653061
"48",2021.16555102041
"49",2021.1557755102
"50",2021.146
