Accession ID	Collection date	Submission date	Location
EPI_ISL_2882732	2021-04-06	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_2882953	2021-04-08	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_8398662	2021-07-18	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_2882951	2021-04-06	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_8397375	2021-06-28	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8398591	2021-07-16	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_2882936	2021-04-06	2021-07-09	North America / USA / California / Los Angeles County
EPI_ISL_8397381	2021-07-02	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8399206	2021-06-28	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8399067	2021-07-21	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8400131	2021-07-21	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396178	2021-07-20	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396214	2021-07-20	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8399973	2021-07-20	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8400104	2021-07-21	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8397747	2021-07-16	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8397388	2021-07-02	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396329	2021-07-21	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396184	2021-07-20	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395929	2021-07-14	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8397240	2021-07-29	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396278	2021-07-21	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395772	2021-07-12	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395889	2021-07-13	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396942	2021-07-28	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396622	2021-07-28	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8400765	2021-07-17	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395820	2021-07-12	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395911	2021-07-13	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396606	2021-07-28	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395743	2021-07-11	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8397374	2021-06-28	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396172	2021-07-20	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395646	2021-07-07	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395667	2021-07-07	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395674	2021-07-07	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395669	2021-07-07	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395545	2021-06-22	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395670	2021-07-07	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8395587	2021-07-06	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8613158	2021-04-19	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613198	2021-05-13	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613161	2021-04-19	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613449	2021-04-15	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613516	2021-05-26	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8613397	2021-05-17	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8631754	2021-05-14	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8631301	2021-04-22	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_8631755	2021-05-07	2022-01-12	North America / USA / California / Los Angeles County
EPI_ISL_2892576	2021-05-05	2021-07-10	North America / USA / California / Los Angeles County
EPI_ISL_7507412	2021-04-30	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507400	2021-05-03	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_8395997	2021-07-15	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_8396105	2021-07-16	2022-01-05	North America / USA / California / Los Angeles County
EPI_ISL_7508181	2021-04-28	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508111	2021-04-28	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507672	2021-04-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508079	2021-04-22	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507383	2021-06-14	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507507	2021-04-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507433	2021-04-18	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507366	2021-06-04	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507947	2021-05-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507666	2021-05-03	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507413	2021-04-08	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507508	2021-05-11	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507714	2021-04-05	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508040	2021-04-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507610	2021-05-02	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507384	2021-06-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507358	2021-06-28	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507391	2021-07-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507411	2021-05-07	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507548	2021-05-07	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507861	2021-04-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507486	2021-05-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507500	2021-04-05	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507381	2021-06-29	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508210	2021-04-04	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507415	2021-04-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507356	2021-06-28	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507907	2021-04-25	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507361	2021-05-26	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507788	2021-04-24	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507376	2021-06-22	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507915	2021-04-08	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507731	2021-04-05	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507373	2021-05-23	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507395	2021-05-31	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507603	2021-05-11	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507440	2021-04-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507368	2021-06-26	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507367	2021-05-27	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507916	2021-04-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507409	2021-04-09	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507386	2021-07-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507375	2021-06-30	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508086	2021-04-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507401	2021-04-05	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507369	2021-06-30	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507402	2021-04-16	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507410	2021-04-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507371	2021-06-18	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507359	2021-06-20	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507423	2021-05-07	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507561	2021-04-18	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507653	2021-04-18	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507566	2021-04-20	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507362	2021-06-03	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508146	2021-04-24	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7962325	2021-07-29	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962326	2021-07-29	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7856216	2021-08-11	2021-12-20	North America / USA / California / Los Angeles County
EPI_ISL_9756263	2021-07-23	2022-02-10	North America / USA / California / Los Angeles County
EPI_ISL_9756110	2021-07-20	2022-02-10	North America / USA / California / Los Angeles County
EPI_ISL_7986775	2021-08-12	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7856419	2021-08-11	2021-12-20	North America / USA / California / Los Angeles County
EPI_ISL_7856418	2021-08-12	2021-12-20	North America / USA / California / Los Angeles County
EPI_ISL_7856177	2021-08-11	2021-12-20	North America / USA / California / Los Angeles County
EPI_ISL_7962309	2021-07-30	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7508204	2021-04-10	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507572	2021-05-11	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507365	2021-06-20	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507396	2021-05-16	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507379	2021-05-20	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507966	2021-04-08	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507971	2021-04-08	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507387	2021-06-29	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508010	2021-04-28	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507353	2021-06-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507723	2021-05-02	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507380	2021-06-24	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507357	2021-07-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507736	2021-04-07	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507390	2021-05-19	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507422	2021-05-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507403	2021-04-04	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507382	2021-06-22	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507677	2021-04-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507981	2021-04-21	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507389	2021-06-13	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507352	2021-06-28	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507360	2021-06-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507364	2021-06-23	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507363	2021-07-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507619	2021-04-07	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507378	2021-06-02	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507397	2021-04-17	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507377	2021-06-14	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507393	2021-06-04	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507542	2021-05-06	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507374	2021-05-25	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507370	2021-06-23	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508031	2021-04-10	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7508139	2021-04-12	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507794	2021-04-05	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7507351	2021-07-01	2021-12-11	North America / USA / California / Los Angeles County
EPI_ISL_7962015	2021-07-29	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962017	2021-07-31	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962012	2021-07-30	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962117	2021-08-11	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962102	2021-08-10	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7986963	2021-07-02	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986952	2021-07-30	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986770	2021-08-12	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986955	2021-08-02	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986779	2021-08-12	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986957	2021-08-01	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986776	2021-08-12	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986885	2021-08-02	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986958	2021-08-02	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986969	2021-07-29	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986954	2021-07-30	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986783	2021-08-04	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_8728958	2021-06-15	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_8729513	2021-06-14	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_8729232	2021-06-12	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_7962122	2021-08-12	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962115	2021-08-09	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7986961	2021-07-02	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986956	2021-08-01	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986968	2021-07-30	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986891	2021-08-10	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986781	2021-08-04	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986782	2021-08-04	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986778	2021-08-12	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986953	2021-08-02	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986759	2021-08-05	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986892	2021-08-10	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_7986715	2021-07-15	2021-12-23	North America / USA / California / Los Angeles County
EPI_ISL_8729851	2021-06-12	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_8729445	2021-04-22	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_8729444	2021-04-22	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_9883980	2021-08-10	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_9884018	2021-08-11	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_9884020	2021-08-12	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_9883853	2021-08-11	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_9884019	2021-08-11	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_7962109	2021-08-10	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962318	2021-07-30	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962130	2021-07-30	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_8506064	2021-05-21	2022-01-08	North America / USA / California / Los Angeles County
EPI_ISL_8506296	2021-05-06	2022-01-08	North America / USA / California / Los Angeles County
EPI_ISL_7704152	2021-07-08	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704147	2021-07-08	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704149	2021-07-08	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704189	2021-07-09	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704178	2021-07-09	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704158	2021-07-08	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_9883998	2021-08-10	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_9884021	2021-08-12	2022-02-15	North America / USA / California / Los Angeles County
EPI_ISL_7962107	2021-08-11	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962116	2021-08-11	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_7962317	2021-07-29	2021-12-22	North America / USA / California / Los Angeles County
EPI_ISL_8506240	2021-04-14	2022-01-08	North America / USA / California / Los Angeles County
EPI_ISL_8506028	2021-05-26	2022-01-08	North America / USA / California / Los Angeles County
EPI_ISL_8506289	2021-05-21	2022-01-08	North America / USA / California / Los Angeles County
EPI_ISL_7704155	2021-07-09	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704161	2021-07-06	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704176	2021-07-09	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704154	2021-07-08	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_7704150	2021-07-08	2021-12-15	North America / USA / California / Los Angeles County
EPI_ISL_8750513	2021-06-18	2022-01-15	North America / USA / California / Los Angeles County
EPI_ISL_2424191	2021-04-08	2021-06-05	North America / USA / California / Los Angeles County
EPI_ISL_2424210	2021-04-20	2021-06-05	North America / USA / California / Los Angeles County
EPI_ISL_5153315	2021-08-10	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153317	2021-08-09	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153332	2021-08-10	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153564	2021-08-10	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153762	2021-08-09	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153768	2021-08-09	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153769	2021-08-09	2021-10-14	North America / USA / California / Los Angeles County
EPI_ISL_5153781	2021-08-10	2021-10-14	North America / USA / California / Los Angeles County
