"","x"
"1",2021.667
"2",2021.65475510204
"3",2021.64251020408
"4",2021.63026530612
"5",2021.61802040816
"6",2021.6057755102
"7",2021.59353061224
"8",2021.58128571429
"9",2021.56904081633
"10",2021.55679591837
"11",2021.54455102041
"12",2021.53230612245
"13",2021.52006122449
"14",2021.50781632653
"15",2021.49557142857
"16",2021.48332653061
"17",2021.47108163265
"18",2021.45883673469
"19",2021.44659183673
"20",2021.43434693878
"21",2021.42210204082
"22",2021.40985714286
"23",2021.3976122449
"24",2021.38536734694
"25",2021.37312244898
"26",2021.36087755102
"27",2021.34863265306
"28",2021.3363877551
"29",2021.32414285714
"30",2021.31189795918
"31",2021.29965306122
"32",2021.28740816327
"33",2021.27516326531
"34",2021.26291836735
"35",2021.25067346939
"36",2021.23842857143
"37",2021.22618367347
"38",2021.21393877551
"39",2021.20169387755
"40",2021.18944897959
"41",2021.17720408163
"42",2021.16495918367
"43",2021.15271428571
"44",2021.14046938776
"45",2021.1282244898
"46",2021.11597959184
"47",2021.10373469388
"48",2021.09148979592
"49",2021.07924489796
"50",2021.067
